Choosing point 0 as the root ...
Point 565 has a distance 67 to the tree, parent 0;
Point 566 has a distance 49 to the tree, parent 0;
Point 567 has a distance 122 to the tree, parent 0;
Point 568 has a distance 95 to the tree, parent 0;
Point 569 has a distance 72 to the tree, parent 0;
Point 570 has a distance 61 to the tree, parent 0;
Point 571 has a distance 73 to the tree, parent 0;
Point 572 has a distance 65 to the tree, parent 0;
Point 573 has a distance 71 to the tree, parent 0;
Point 574 has a distance 74 to the tree, parent 0;
Point 575 has a distance 36 to the tree, parent 0;
Point 576 has a distance 60 to the tree, parent 0;
Point 577 has a distance 71 to the tree, parent 0;
Point 578 has a distance 82 to the tree, parent 0;
Point 579 has a distance 49 to the tree, parent 0;
Point 580 has a distance 43 to the tree, parent 0;
Point 581 has a distance 109 to the tree, parent 0;
Point 582 has a distance 57 to the tree, parent 0;
Point 583 has a distance 25 to the tree, parent 0;
Point 584 has a distance 39 to the tree, parent 0;
Point 585 has a distance 70 to the tree, parent 0;
Point 586 has a distance 66 to the tree, parent 0;
Point 587 has a distance 49 to the tree, parent 0;
Point 588 has a distance 51 to the tree, parent 0;
Point 589 has a distance 64 to the tree, parent 0;
Point 590 has a distance 14 to the tree, parent 0;
Point 591 has a distance 69 to the tree, parent 0;
Point 592 has a distance 82 to the tree, parent 0;
Point 593 has a distance 140 to the tree, parent 0;
Point 594 has a distance 91 to the tree, parent 0;
Point 595 has a distance 131 to the tree, parent 0;
Point 596 has a distance 108 to the tree, parent 0;
Point 597 has a distance 110 to the tree, parent 0;
Point 598 has a distance 99 to the tree, parent 0;
Point 599 has a distance 49 to the tree, parent 0;
Point 600 has a distance 33 to the tree, parent 0;
Point 601 has a distance 119 to the tree, parent 0;
Point 602 has a distance 122 to the tree, parent 0;
Point 603 has a distance 78 to the tree, parent 0;
Point 604 has a distance 81 to the tree, parent 0;
Point 605 has a distance 44 to the tree, parent 0;
